train_loss,train_compile_metrics,test_loss,test_compile_metrics
0.22704508900642395,0.9350649118423462,0.27401870489120483,0.8850574493408203
0.2774829864501953,0.9307359457015991,0.38326534628868103,0.8620689511299133
0.22870300710201263,0.9134199023246765,0.29817965626716614,0.8390804529190063
0.24862809479236603,0.9094827771186829,0.23794586956501007,0.9418604373931885
0.2297026365995407,0.9437229633331299,0.31721192598342896,0.8505747318267822
0.2301706075668335,0.8787878751754761,0.29798758029937744,0.8965517282485962
0.212759867310524,0.939393937587738,0.30878862738609314,0.8850574493408203
0.21964691579341888,0.9047619104385376,0.3415646553039551,0.8505747318267822
0.24388472735881805,0.9004328846931458,0.24192248284816742,0.8850574493408203
0.21836340427398682,0.9267241358757019,0.28330692648887634,0.8837209343910217
0.2162553071975708,0.9437229633331299,0.2747116684913635,0.8620689511299133
0.2328357845544815,0.9134199023246765,0.29441022872924805,0.8620689511299133
0.23508605360984802,0.9264069199562073,0.3183470666408539,0.8620689511299133
0.245384082198143,0.8879310488700867,0.266426682472229,0.8720930218696594
0.24927875399589539,0.9134199023246765,0.3358764350414276,0.8620689511299133
0.19959576427936554,0.9220778942108154,0.3683721721172333,0.8160919547080994
0.24569928646087646,0.8961039185523987,0.2616167962551117,0.9195402264595032
0.2618066072463989,0.8961039185523987,0.2946971654891968,0.8735632300376892
0.22888115048408508,0.9224137663841248,0.24925555288791656,0.9186046719551086
0.2465481013059616,0.9134199023246765,0.28912582993507385,0.8965517282485962
0.23109592497348785,0.9047619104385376,0.3208704888820648,0.8735632300376892
0.25292152166366577,0.8744588494300842,0.3418807089328766,0.8390804529190063
0.23019632697105408,0.8831169009208679,0.4040457606315613,0.8275862336158752
0.1977108120918274,0.8961039185523987,0.33070459961891174,0.8160919547080994
0.25535261631011963,0.9051724076271057,0.2590438425540924,0.9069767594337463
0.25611814856529236,0.9177489280700684,0.3486728370189667,0.8505747318267822
0.23604251444339752,0.9264069199562073,0.2882251441478729,0.9080459475517273
0.22567163407802582,0.9051724076271057,0.3499661684036255,0.8488371968269348
0.22162854671478271,0.8917748928070068,0.28193560242652893,0.8965517282485962
0.22637346386909485,0.9090909361839294,0.2407359629869461,0.9080459475517273
0.2539115846157074,0.8658008575439453,0.44030100107192993,0.8045976758003235
0.23313845694065094,0.9094827771186829,0.3024422824382782,0.8720930218696594
0.2473273128271103,0.887445867061615,0.2796647548675537,0.8850574493408203
0.23774990439414978,0.9307359457015991,0.25852882862091064,0.9080459475517273
0.24611911177635193,0.875,0.28634339570999146,0.8965517282485962
0.2851840555667877,0.8917748928070068,0.26606467366218567,0.9195402264595032
0.20805877447128296,0.8917748928070068,0.322818785905838,0.9080459475517273
0.2659529447555542,0.9307359457015991,0.3046589195728302,0.8735632300376892
0.23978395760059357,0.9094827771186829,0.35590091347694397,0.8488371968269348
