file_fullname,n_reads_all,n_nucleotides_all,n_reads_good,n_nucleotides_good,n_reads_dup,n_nucleotides_dup,n_reads_unmapped,n_nucleotides_unmapped,n_reads_short,n_nucleotides_short,n_reads_long,n_nucleotides_long,chrM_count,short_lower,short_upper,long_lower,long_upper,depth,long_fraction,short_fraction,long_short_ratio
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX10575P_WGS.sorted_processed.bam,98618626,9861862600,81760782,8176078200,563981,56398100,15231351,1523135100,17526341,1752634100,58167894,5816789400,2671,90,150,151,210,2.4775994545454547,0.7114400397980538,0.21436122027306442,3.3188840728364237
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX10576P_WGS.sorted_processed.bam,87889564,8788956400,71479781,7147978100,559620,55962000,14874821,1487482100,13556567,1355656700,50883179,5088317900,879,90,150,151,210,2.1660539696969696,0.7118541535542757,0.18965596718881944,3.753397080544064
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX10577P_WGS.sorted_processed.bam,93805618,9380561800,77313035,7731303500,486216,48621600,14984110,1498411000,15326354,1532635400,57027087,5702708700,395,90,150,151,210,2.3428192424242424,0.7376128359208768,0.19823764517846182,3.7208514823551644
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX10578P_WGS.sorted_processed.bam,92585526,9258552600,77709180,7770918000,524414,52441400,13332849,1333284900,13117834,1311783400,57755245,5775524500,566,90,150,151,210,2.3548236363636366,0.7432229371098755,0.1688067484433628,4.4028034658770645
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX10579P_WGS.sorted_processed.bam,87870254,8787025400,73245357,7324535700,398286,39828600,13270488,1327048800,15686030,1568603000,52775280,5277528000,1910,90,150,151,210,2.2195562727272726,0.7205273093282896,0.21415732877102367,3.3644765437781263
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX10580P_WGS.sorted_processed.bam,101441544,10144154400,84424249,8442424900,627762,62776200,15278045,1527804500,18289568,1828956800,59935565,5993556500,1114,90,150,151,210,2.558310575757576,0.709933054897533,0.21663880006797573,3.2770355756899234
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX10624P5_WGS.sorted_processed.bam,99675314,9967531400,80630061,8063006100,581366,58136600,17633784,1763378400,14421209,1442120900,60313698,6031369800,379,90,150,151,210,2.4433351818181817,0.7480299190149441,0.17885648133144783,4.182291373767622
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX10624P6_WGS.sorted_processed.bam,95471192,9547119200,69911001,6991100100,413536,41353600,24419617,2441961700,10068860,1006886000,54243293,5424329300,552,90,150,151,210,2.1185151818181818,0.7758906641888879,0.14402397127742456,5.3872328148370325
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX10624P7_WGS.sorted_processed.bam,95358986,9535898600,77433379,7743337900,535505,53550500,16576026,1657602600,13043220,1304322000,58913577,5891357700,2862,90,150,151,210,2.3464660303030302,0.7608292155247416,0.16844441206679098,4.516797002580651
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX10624P8_WGS.sorted_processed.bam,87836286,8783628600,71145202,7114520200,567580,56758000,15358647,1535864700,13809399,1380939900,52306666,5230666600,255,90,150,151,210,2.155915212121212,0.7352100286397387,0.194101620514058,3.7877583231536724
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX10625P5_WGS.sorted_processed.bam,100258232,10025823200,75189715,7518971500,427171,42717100,23869950,2386995000,10804490,1080449000,57465269,5746526900,231,90,150,151,210,2.278476212121212,0.7642703393675584,0.14369638187882477,5.318647062471251
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX10625P6_WGS.sorted_processed.bam,94624804,9462480400,76568202,7656820200,412972,41297200,16802425,1680242500,20117630,2011763000,52147997,5214799700,279,90,150,151,210,2.3202485454545454,0.6810659730523645,0.26274131394648653,2.5921540956862215
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX10625P7_WGS.sorted_processed.bam,91438250,9143825000,73813830,7381383000,421052,42105200,16394417,1639441700,19073067,1907306700,51188310,5118831000,92,90,150,151,210,2.236782727272727,0.6934785798271137,0.25839421961981923,2.683800670337917
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX10625P8_WGS.sorted_processed.bam,90727138,9072713800,73192578,7319257800,398351,39835100,16337784,1633778400,20470534,2047053400,49076416,4907641600,220,90,150,151,210,2.2179569090909093,0.6705108269311132,0.2796804615899716,2.3974174782152726
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX10626P5_WGS.sorted_processed.bam,95797870,9579787000,77487184,7748718400,448462,44846200,17062971,1706297100,14054296,1405429600,57859887,5785988700,432,90,150,151,210,2.348096484848485,0.7467026676308175,0.18137574853668706,4.116882624359128
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX10626P6_WGS.sorted_processed.bam,95127036,9512703600,78369666,7836966600,467653,46765300,15492848,1549284800,14796853,1479685300,56803123,5680312300,1161,90,150,151,210,2.3748383636363637,0.7248100687324609,0.18880842238117998,3.8388651289568125
