fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.012195121951219513,0.9993625
0.0,0.573170731707317,0.8548541
0.014925373134328358,0.573170731707317,0.83463466
0.014925373134328358,0.6463414634146342,0.7467027
0.029850746268656716,0.6463414634146342,0.72209156
0.029850746268656716,0.6585365853658537,0.68708354
0.04477611940298507,0.6585365853658537,0.68322587
0.04477611940298507,0.7195121951219512,0.5961578
0.07462686567164178,0.7195121951219512,0.58865255
0.07462686567164178,0.7439024390243902,0.5700388
0.08955223880597014,0.7439024390243902,0.56459403
0.08955223880597014,0.7804878048780488,0.52620286
0.11940298507462686,0.7804878048780488,0.51345545
0.11940298507462686,0.8292682926829268,0.40995008
0.13432835820895522,0.8292682926829268,0.40469292
0.13432835820895522,0.8780487804878049,0.39044672
0.16417910447761194,0.8780487804878049,0.37459463
0.16417910447761194,0.8902439024390244,0.3629498
0.29850746268656714,0.8902439024390244,0.26236448
0.29850746268656714,0.9024390243902439,0.2570894
0.3283582089552239,0.9024390243902439,0.24620609
0.3283582089552239,0.9146341463414634,0.24028426
0.3582089552238806,0.9146341463414634,0.2322912
0.3582089552238806,0.926829268292683,0.2259598
0.40298507462686567,0.926829268292683,0.21300887
0.40298507462686567,0.9512195121951219,0.18739057
0.4626865671641791,0.9512195121951219,0.1290568
0.4626865671641791,0.9634146341463414,0.12559123
0.5223880597014925,0.9634146341463414,0.106981
0.5223880597014925,0.975609756097561,0.09645918
0.6567164179104478,0.975609756097561,0.07335793
0.6567164179104478,0.9878048780487805,0.07304184
0.8059701492537313,0.9878048780487805,0.044390704
0.8059701492537313,1.0,0.040904872
1.0,1.0,0.009175845
