fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.0125,0.99964726
0.0,0.1125,0.99544436
0.014705882352941176,0.1125,0.9937922
0.014705882352941176,0.6,0.87704027
0.029411764705882353,0.6,0.87224036
0.029411764705882353,0.6125,0.8588652
0.04411764705882353,0.6125,0.8480083
0.04411764705882353,0.6375,0.83257973
0.058823529411764705,0.6375,0.80333614
0.058823529411764705,0.6625,0.7745988
0.07352941176470588,0.6625,0.7625092
0.07352941176470588,0.6875,0.6638499
0.08823529411764706,0.6875,0.6384215
0.08823529411764706,0.7,0.6381826
0.10294117647058823,0.7,0.63125455
0.10294117647058823,0.7375,0.5931764
0.11764705882352941,0.7375,0.57671756
0.11764705882352941,0.8,0.5172376
0.14705882352941177,0.8,0.51482904
0.14705882352941177,0.8125,0.5087513
0.16176470588235295,0.8125,0.50542945
0.16176470588235295,0.85,0.46759278
0.17647058823529413,0.85,0.43340898
0.17647058823529413,0.8875,0.3973941
0.20588235294117646,0.8875,0.38554245
0.20588235294117646,0.9,0.38410026
0.29411764705882354,0.9,0.34183818
0.29411764705882354,0.925,0.30551422
0.3235294117647059,0.925,0.2946708
0.3235294117647059,0.9375,0.29175538
0.4264705882352941,0.9375,0.23751019
0.4264705882352941,0.95,0.23748524
0.4852941176470588,0.95,0.22809957
0.4852941176470588,0.9625,0.22747791
0.5588235294117647,0.9625,0.19776958
0.5588235294117647,0.975,0.19287564
0.7352941176470589,0.975,0.12231514
0.7352941176470589,1.0,0.117050126
1.0,1.0,0.026060874
