fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.0125,0.9999995
0.0,0.025,0.99995995
0.014705882352941176,0.025,0.9997013
0.014705882352941176,0.575,0.8828162
0.029411764705882353,0.575,0.8790885
0.029411764705882353,0.5875,0.8723465
0.04411764705882353,0.5875,0.8202007
0.04411764705882353,0.6125,0.7727832
0.058823529411764705,0.6125,0.69783294
0.058823529411764705,0.6625,0.6381385
0.07352941176470588,0.6625,0.6375865
0.07352941176470588,0.8125,0.38553417
0.14705882352941177,0.8125,0.33281025
0.14705882352941177,0.8875,0.26843098
0.17647058823529413,0.8875,0.25689247
0.17647058823529413,0.925,0.21669754
0.20588235294117646,0.925,0.20285222
0.20588235294117646,0.9375,0.19406036
0.38235294117647056,0.9375,0.12142137
0.38235294117647056,0.95,0.120604075
0.5441176470588235,0.95,0.08658376
0.5441176470588235,0.9625,0.08290262
0.5588235294117647,0.9625,0.080883436
0.5588235294117647,0.975,0.080039464
0.8235294117647058,0.975,0.03510305
0.8235294117647058,0.9875,0.034726676
0.9264705882352942,0.9875,0.019259566
0.9264705882352942,1.0,0.018139761
1.0,1.0,0.0058837286
