cohort,"Test: (0.03, 0.1]","Test: (0.1, 1]","Test: [0, 0.03]",Test: all,"Train: (0.03, 0.1]","Train: (0.1, 1]","Train: [0, 0.03]",Train: all
Cancer,58,62,200,320,181,195,536,912
Healthy,133,133,133,133,325,325,325,325
