FN
CGPLPA92
EwS_54
MBC_1079
CGPLBR100
JBLAB_5599
MBC_1135
CGPLOV22
EwS_34
EwS_78
CGPLBR83
CGST33
CGPLOV31
EwS_18
MBC_1097
CGCRC321
CGPLBR47
X75_1
Bl10
MBC_1366
MBC_1259
Ren2
M14
EwS_61
CGPLPA71
CGPLPA26
CRPC_1032
CGPLBR63
CGPLPA114
B12
CGPLLU264
CGPLBR87
CGST114
MBC_1196
CGCRC294
CGPLLU89
CGPLPA52
Bl8
EwSLike_2
EwS_89
CGPLBR35
CGST141
MBC_1309
X112
MBC_1414
CGPLPA122
CGPLLU161
