FN
CGPLPA117
CGPLBR82
CGPLLU205
CGST11
CGPLBR32
B22
CGPLPA135
CGPLPA156
B15
CRPC_1022
MBC_1045
MBC_1225
CGCRC301
CGST39
MBC_1240
EwS_1
EwS_40
MBC_1400
Ren1
MBC_1311
CGPLOV40
P3
CGPLPA59
Ren26
EwS_64
MBC_1157
MBC_1097
CGPLPA94
MBC_1288
CRPC_1440
Bl10
MBC_1366
L4
MBC_1317
X150
CGPLBR49
Ren23
Ren33
MBC_1209
CGCRC305
CRPC_1476
CGPLPA126
GB13
CGPLBR59
EwS_82
MBC_1220
CGPLPA38
MBC_1193
MBC_1183
CGPLBR93
MBC_1121
MBC_1123
CGPLBR72
CGPLLU162
Ren15
MBC_1198
CGPLPA69
MBC_1064
CGPLLU264
CGPLBR103
CGPLLU89
CGST41
GB3
Ren9
CGPLOV26
Ov1
GB32
MBC_1087
CRPC_1006
MBC_1059
CGPLBR34
