fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.045454545454545456,0.9742968
0.0,0.5454545454545454,0.42681077
0.015384615384615385,0.5454545454545454,0.42325503
0.015384615384615385,0.5909090909090909,0.4130374
0.03076923076923077,0.5909090909090909,0.4049774
0.03076923076923077,0.7272727272727273,0.35772488
0.046153846153846156,0.7272727272727273,0.34731433
0.046153846153846156,0.8181818181818182,0.28591704
0.13846153846153847,0.8181818181818182,0.19636971
0.13846153846153847,0.8636363636363636,0.19025582
0.2,0.8636363636363636,0.14815411
0.2,0.9090909090909091,0.14202341
0.46153846153846156,0.9090909090909091,0.07509295
0.46153846153846156,0.9545454545454546,0.07087637
0.8153846153846154,0.9545454545454546,0.027071873
0.8153846153846154,1.0,0.025904441
1.0,1.0,0.0040970254
