fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.05,0.99595624
0.0,0.55,0.64010453
0.014925373134328358,0.55,0.604714
0.014925373134328358,0.6,0.5605797
0.05970149253731343,0.6,0.46836153
0.05970149253731343,0.65,0.45043027
0.07462686567164178,0.65,0.44617712
0.07462686567164178,0.75,0.44422463
0.1044776119402985,0.75,0.41865015
0.1044776119402985,0.8,0.4052242
0.11940298507462686,0.8,0.39961833
0.11940298507462686,0.9,0.36715025
0.6268656716417911,0.9,0.1369819
0.6268656716417911,0.95,0.13611276
0.7014925373134329,0.95,0.0959846
0.7014925373134329,1.0,0.09393966
1.0,1.0,0.026583703
