fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.05,0.9841888
0.0,0.4,0.8212983
0.015151515151515152,0.4,0.7628004
0.015151515151515152,0.65,0.71057224
0.030303030303030304,0.65,0.6323665
0.030303030303030304,0.75,0.6253532
0.045454545454545456,0.75,0.590211
0.045454545454545456,0.8,0.5470383
0.07575757575757576,0.8,0.44643766
0.07575757575757576,0.85,0.40765262
0.10606060606060606,0.85,0.38444415
0.10606060606060606,0.9,0.38393533
0.12121212121212122,0.9,0.38110548
0.12121212121212122,0.95,0.3659562
0.36363636363636365,0.95,0.18913943
0.36363636363636365,1.0,0.16891468
1.0,1.0,0.012327215
