fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.05,0.99860007
0.0,0.25,0.9390003
0.014925373134328358,0.25,0.9002227
0.014925373134328358,0.6,0.55117226
0.1044776119402985,0.6,0.462487
0.1044776119402985,0.7,0.4199731
0.13432835820895522,0.7,0.34666374
0.13432835820895522,0.75,0.336314
0.208955223880597,0.75,0.24782206
0.208955223880597,0.85,0.24009188
0.2537313432835821,0.85,0.21323779
0.2537313432835821,0.9,0.19895747
0.34328358208955223,0.9,0.15417992
0.34328358208955223,0.95,0.1530831
0.5074626865671642,0.95,0.07615599
0.5074626865671642,1.0,0.07354214
1.0,1.0,0.015320094
