fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.05,0.92670053
0.0,0.6,0.38603818
0.04477611940298507,0.6,0.32680777
0.04477611940298507,0.65,0.32506242
0.07462686567164178,0.65,0.2985018
0.07462686567164178,0.7,0.29140642
0.11940298507462686,0.7,0.25579962
0.11940298507462686,0.8,0.22446689
0.14925373134328357,0.8,0.2098004
0.14925373134328357,0.85,0.19571678
0.1791044776119403,0.85,0.17561214
0.1791044776119403,0.9,0.1699956
0.19402985074626866,0.9,0.15999998
0.19402985074626866,0.95,0.15837637
0.5074626865671642,0.95,0.072614156
0.5074626865671642,1.0,0.072443575
1.0,1.0,0.005798946
